ciclo_form,ano_t1,ano_t2,Ativo_A,Ativo_B,Setor_A,z_media,z_std,z_skew,z_kurt,pval_form
2018-2019,2020,2021,EQTL3,TAEE11,Utilidade pública,-0.07108848425838381,0.6240363408140803,-0.5244729404145289,1.1334842860304954,0.003221894916311184
2018-2019,2020,2021,COGN3,TECN3,Consumo cíclico,-0.700972868941275,1.6854329199979985,1.1060364096809332,4.0682012279088395,0.0032273833895243432
2018-2019,2020,2021,PETR3,PETR4,Petróleo gás e biocombustíveis,-0.019561593754662803,0.3591470341706894,-1.4798707000643616,7.685048515310589,0.004643151486361207
2018-2019,2020,2021,COGN3,TCSA3,Consumo cíclico,-0.1690985015161956,1.084324715792462,-0.25806268632937285,2.7703115622887333,0.00525033378420691
2018-2019,2020,2021,ALUP11,SBSP3,Utilidade pública,0.04136427090697858,0.9128526825545898,0.47022091347694106,5.337325692441169,0.005356610679378405
2018-2019,2020,2021,ALPA4,EVEN3,Consumo cíclico,0.2067182890336354,1.1584590541690147,0.9077378034624873,2.6112673426271673,0.00559995279884327
2018-2019,2020,2021,COGN3,RSID3,Consumo cíclico,-0.49611883811992974,1.2549076558037606,-0.9025211729347483,4.510258632225936,0.00587512830029468
2018-2019,2020,2021,ABEV3,MDIA3,Consumo não cíclico,0.040915755365047594,0.8897294334804243,0.10706124615217823,1.9532477465520897,0.006704873304146023
2018-2019,2020,2021,BRML3,IGTA3,Financeiro,-0.06454844890355967,0.7219278951179684,-0.981623775825118,11.760667327567068,0.009130760297973542
2018-2019,2020,2021,GBIO33,PFRM3,Saúde,0.011521823587715948,0.5246896572920428,-0.5874666490770571,2.265132504973108,0.011172589663731265
2018-2019,2020,2021,ALUP11,ENBR3,Utilidade pública,-0.015235034066648867,0.4367931826263433,0.0949467441481465,2.6141153119329497,0.015378034321425043
2018-2019,2020,2021,AZUL54,TGMA3,Bens industriais,0.005772022273735848,1.6218208336390254,-2.0717623653531754,14.186271943907375,0.017199341014800182
2018-2019,2020,2021,BBAS3,BRSR6,Financeiro,0.09040191248472687,0.6585308227107574,-0.6214872709016059,3.095621786370989,0.01840719588414887
2018-2019,2020,2021,ALOS3,BBSE3,Financeiro,-0.061184553073530795,1.1384638196294734,-0.632897055874748,3.237855211065928,0.019510166959315817
2018-2019,2020,2021,BRAP4,GOAU4,Materiais básicos,0.16312188006603479,0.8493868991053738,0.7494589686900281,0.5320960156040333,0.02078708030389066
2020-2021,2022,2023,TAEE11,TAEE4,Utilidade pública,0.005099302766943365,0.2489956663999068,-0.5060843967615499,4.705358212770331,3.93901281789279e-06
2020-2021,2022,2023,ALOS3,BRML3,Financeiro,-0.14257233468388525,0.40597920834060075,-0.5989498136349406,3.024178132580035,3.899239478762519e-05
